omega_n,omega_next,return_time,impact_count,return_type,omega_next_exact,absolute_error,attractor,gamma,alpha,omega_1,omega_2,gravity,length,mass,num_spokes
0.3000000000000007,-0.2121320343695666,0.20530726253986362,1,rocking_return,-0.21213203435596478,1.3601814119468258e-11,standing,0.08,0.39269908169872414,0.9754168743931118,-1.4667913661798448,9.81,1,1,8
0.3200000000000003,-0.22627417095431068,0.220016183257103,1,rocking_return,-0.22627416997969543,9.74615249615951e-10,standing,0.08,0.39269908169872414,0.9754168743931118,-1.4667913661798448,9.81,1,1,8
0.33999999999999986,-0.24041630644042608,0.2349440091848374,1,rocking_return,-0.24041630560342608,8.369999970891939e-10,standing,0.08,0.39269908169872414,0.9754168743931118,-1.4667913661798448,9.81,1,1,8
0.35999999999999943,-0.2545584412210797,0.25011188983917243,1,rocking_return,-0.2545584412271567,6.077027769890719e-12,standing,0.08,0.39269908169872414,0.9754168743931118,-1.4667913661798448,9.81,1,1,8
0.3800000000000008,-0.2687005776255238,0.2655427539348603,1,rocking_return,-0.2687005768508886,7.746351893267445e-10,standing,0.08,0.39269908169872414,0.9754168743931118,-1.4667913661798448,9.81,1,1,8
0.40000000000000036,-0.28284271267024647,0.2812615698575974,1,rocking_return,-0.2828427124746193,1.956271811209831e-10,standing,0.08,0.39269908169872414,0.9754168743931118,-1.4667913661798448,9.81,1,1,8
0.41999999999999993,-0.29698484888415577,0.2972956585884095,1,rocking_return,-0.2969848480983499,7.858058648224642e-10,standing,0.08,0.39269908169872414,0.9754168743931118,-1.4667913661798448,9.81,1,1,8
0.4399999999999995,-0.3111269842671517,0.31367505311965954,1,rocking_return,-0.3111269837220806,5.450710993670782e-10,standing,0.08,0.39269908169872414,0.9754168743931118,-1.4667913661798448,9.81,1,1,8
0.46000000000000085,-0.3252691193981359,0.33043293297290816,1,rocking_return,-0.3252691193458125,5.2323423371802846e-11,standing,0.08,0.39269908169872414,0.9754168743931118,-1.4667913661798448,9.81,1,1,8
0.4800000000000004,-0.3394112555580861,0.34760613918304456,1,rocking_return,-0.33941125496954316,5.885429366081496e-10,standing,0.08,0.39269908169872414,0.9754168743931118,-1.4667913661798448,9.81,1,1,8
0.5,-0.3535533907637731,0.3652357935905458,1,rocking_return,-0.3535533905932738,1.7049933687118823e-10,standing,0.08,0.39269908169872414,0.9754168743931118,-1.4667913661798448,9.81,1,1,8
0.5199999999999996,-0.3676955268930672,0.3833680552244188,1,rocking_return,-0.3676955262170044,6.760628168400729e-10,standing,0.08,0.39269908169872414,0.9754168743931118,-1.4667913661798448,9.81,1,1,8
0.5400000000000009,-0.38183766281687004,0.4020550388097765,1,rocking_return,-0.38183766184073636,9.761336738911552e-10,standing,0.08,0.39269908169872414,0.9754168743931118,-1.4667913661798448,9.81,1,1,8
0.5600000000000005,-0.39597979785545007,0.4213559538125994,1,rocking_return,-0.395979797464467,3.9098307924589903e-10,standing,0.08,0.39269908169872414,0.9754168743931118,-1.4667913661798448,9.81,1,1,8
0.5800000000000001,-0.4101219331593048,0.4413385224342348,1,rocking_return,-0.41012193308819767,7.110712019198218e-11,standing,0.08,0.39269908169872414,0.9754168743931118,-1.4667913661798448,9.81,1,1,8
0.5999999999999996,-0.42426406896092683,0.4620807629823687,1,rocking_return,-0.4242640687119283,2.4899854400572963e-10,standing,0.08,0.39269908169872414,0.9754168743931118,-1.4667913661798448,9.81,1,1,8
0.620000000000001,-0.4384062042444896,0.48367326259613064,1,rocking_return,-0.4384062043356602,9.117057109264692e-11,standing,0.08,0.39269908169872414,0.9754168743931118,-1.4667913661798448,9.81,1,1,8
0.6400000000000006,-0.45254833979828546,0.5062221097946169,1,rocking_return,-0.45254833995939087,1.611054067929274e-10,standing,0.08,0.39269908169872414,0.9754168743931118,-1.4667913661798448,9.81,1,1,8
0.6600000000000001,-0.46669047667515834,0.5298527264595034,1,rocking_return,-0.4666904755831215,1.0920368498368305e-09,standing,0.08,0.39269908169872414,0.9754168743931118,-1.4667913661798448,9.81,1,1,8
0.6799999999999997,-0.4808326122435864,0.5547149550914767,1,rocking_return,-0.48083261120685217,1.0367342540007485e-09,standing,0.08,0.39269908169872414,0.9754168743931118,-1.4667913661798448,9.81,1,1,8
0.7000000000000011,-0.49497474731220703,0.5809899383783343,1,rocking_return,-0.49497474683058407,4.816229637327751e-10,standing,0.08,0.39269908169872414,0.9754168743931118,-1.4667913661798448,9.81,1,1,8
0.7200000000000006,-0.5091168833001759,0.6088995897769931,1,rocking_return,-0.5091168824543147,8.458611588935128e-10,standing,0.08,0.39269908169872414,0.9754168743931118,-1.4667913661798448,9.81,1,1,8
0.7400000000000002,-0.5232590190808933,0.6387199354171756,1,rocking_return,-0.5232590180780453,1.0028480268431395e-09,standing,0.08,0.39269908169872414,0.9754168743931118,-1.4667913661798448,9.81,1,1,8
