theta_index,theta_dot_index,theta0,theta_dot0,classification,final_time,final_theta,final_theta_dot,total_impacts,downhill_impacts,uphill_impacts,rolling_speed,gamma,alpha,gravity,length,mass,num_spokes
0,15,-0.13269908169872413,-2.4375,rolling,7.339999999999888,-0.12838781512672515,1.9619940067975936,19,18,1,1.9647542531722666,0.26,0.39269908169872414,9.81,1,1,8
0,16,-0.13269908169872413,-2.4,rolling,7.319999999999888,-0.1260385199656313,1.9605030693655636,19,18,1,1.9647533283279885,0.26,0.39269908169872414,9.81,1,1,8
0,17,-0.13269908169872413,-2.3625,rolling,7.299999999999889,-0.12850521895540312,1.962069024272392,19,18,1,1.9647524179753493,0.26,0.39269908169872414,9.81,1,1,8
0,18,-0.13269908169872413,-2.325,rolling,7.289999999999889,-0.11552545756899424,1.9541542910978185,19,18,1,1.964751521965982,0.26,0.39269908169872414,9.81,1,1,8
0,19,-0.13269908169872413,-2.2875,rolling,7.269999999999889,-0.1257361694855429,1.9603128489285344,19,18,1,1.964750639990811,0.26,0.39269908169872414,9.81,1,1,8
0,20,-0.13269908169872413,-2.25,rolling,7.25999999999989,-0.11956911990812716,1.9565333347985114,19,18,1,1.9647497743821025,0.26,0.39269908169872414,9.81,1,1,8
0,21,-0.13269908169872413,-2.2125,rolling,7.24999999999989,-0.11627380980958855,1.9545884303387266,19,18,1,1.9647489204740831,0.26,0.39269908169872414,9.81,1,1,8
0,22,-0.13269908169872413,-2.175,rolling,7.23999999999989,-0.11557266058662866,1.9541812834073968,19,18,1,1.9647480829722068,0.26,0.39269908169872414,9.81,1,1,8
0,23,-0.13269908169872413,-2.1375,rolling,7.22999999999989,-0.11724520806563585,1.955156145787893,19,18,1,1.9647472574038627,0.26,0.39269908169872414,9.81,1,1,8
0,24,-0.13269908169872413,-2.1,rolling,7.2199999999998905,-0.12111637133899303,1.9574641450041772,19,18,1,1.964746447485738,0.26,0.39269908169872414,9.81,1,1,8
0,25,-0.13269908169872413,-2.0625,rolling,7.209999999999891,-0.12704831049426588,1.9611399261339502,19,18,1,1.9647456516970108,0.26,0.39269908169872414,9.81,1,1,8
0,26,-0.13269908169872413,-2.025,rolling,7.209999999999891,-0.11533472985746723,1.9540433768793355,19,18,1,1.9647448713886961,0.26,0.39269908169872414,9.81,1,1,8
0,27,-0.13269908169872413,-1.9875,rolling,7.199999999999891,-0.12503422418344487,1.9598728846359315,19,18,1,1.9647441042622233,0.26,0.39269908169872414,9.81,1,1,8
0,28,-0.13269908169872413,-1.95,rolling,7.199999999999891,-0.11692889852497665,1.9549703616250012,19,18,1,1.9647433512618362,0.26,0.39269908169872414,9.81,1,1,8
0,29,-0.13269908169872413,-1.9125,rolling,7.189999999999891,-0.130119177484184,1.963108393433118,19,18,1,1.9647426120737332,0.26,0.39269908169872414,9.81,1,1,8
0,30,-0.13269908169872413,-1.875,rolling,7.189999999999891,-0.12538669844603012,1.9600929881199691,19,18,1,1.9647418894796331,0.26,0.39269908169872414,9.81,1,1,8
0,31,-0.13269908169872413,-1.8375000000000001,rolling,7.189999999999891,-0.12230977977202698,1.9581896615836778,19,18,1,1.9647411797831333,0.26,0.39269908169872414,9.81,1,1,8
0,32,-0.13269908169872413,-1.8,rolling,7.189999999999891,-0.12087454319160611,1.9573172884108443,19,18,1,1.9647404843228309,0.26,0.39269908169872414,9.81,1,1,8
0,33,-0.13269908169872413,-1.7625,rolling,7.189999999999891,-0.12108436574981868,1.9574441321950506,19,18,1,1.9647398026539467,0.26,0.39269908169872414,9.81,1,1,8
0,34,-0.13269908169872413,-1.725,rolling,7.189999999999891,-0.12295992542106013,1.958587854212713,19,18,1,1.9647391360416446,0.26,0.39269908169872414,9.81,1,1,8
0,35,-0.13269908169872413,-1.6875,rolling,7.189999999999891,-0.12653991985412746,1.9608176336114,19,18,1,1.9647384840168798,0.26,0.39269908169872414,9.81,1,1,8
0,36,-0.13269908169872413,-1.6500000000000001,rolling,7.189999999999891,-0.13188261605676704,1.9642587121889785,19,18,1,1.9647378480326392,0.26,0.39269908169872414,9.81,1,1,8
0,37,-0.13269908169872413,-1.6125,rolling,7.199999999999891,-0.11944204898702719,1.9564561717861286,19,18,1,1.9647372231694,0.26,0.39269908169872414,9.81,1,1,8
0,38,-0.13269908169872413,-1.575,rolling,7.569999999999883,-0.11850768483022482,1.9559031056763336,20,19,1,1.9647696445317806,0.26,0.39269908169872414,9.81,1,1,8
0,39,-0.13269908169872413,-1.5375,rolling,7.569999999999883,-0.12961062936018125,1.9627818156633696,20,19,1,1.9647693471478949,0.26,0.39269908169872414,9.81,1,1,8
0,40,-0.13269908169872413,-1.5,rolling,7.579999999999883,-0.12328580372775115,1.9587911594508927,20,19,1,1.964769056405129,0.26,0.39269908169872414,9.81,1,1,8
0,41,-0.13269908169872413,-1.4625000000000001,rolling,7.589999999999883,-0.11931264443367745,1.9563819128750357,20,19,1,1.9647687733206798,0.26,0.39269908169872414,9.81,1,1,8
0,42,-0.13269908169872413,-1.425,rolling,7.599999999999882,-0.11789502353295257,1.955540590755934,20,19,1,1.9647684972533144,0.26,0.39269908169872414,9.81,1,1,8
0,43,-0.13269908169872413,-1.3875,rolling,7.609999999999882,-0.11929151755377954,1.956369252539287,20,19,1,1.9647682285866577,0.26,0.39269908169872414,9.81,1,1,8
0,44,-0.13269908169872413,-1.35,rolling,7.619999999999882,-0.12383015240600997,1.9591270120841058,20,19,1,1.9647679659715165,0.26,0.39269908169872414,9.81,1,1,8
0,45,-0.13269908169872413,-1.3125,rolling,7.629999999999882,-0.13193010605233327,1.9642927508278056,20,19,1,1.9647677120882532,0.26,0.39269908169872414,9.81,1,1,8
0,46,-0.13269908169872413,-1.2750000000000001,rolling,7.649999999999881,-0.1244750579187993,1.9595268168739897,20,19,1,1.9647674647191895,0.26,0.39269908169872414,9.81,1,1,8
